"","x_","y_","t_","dt"
"229",515817.558431013,-169468.539828993,2012-11-07 05:00:00,1H 0M 0S
"230",516313.458326202,-169019.280504092,2012-11-07 06:00:00,1H 0M 0S
"231",516500.395799208,-167245.538891644,2012-11-07 07:00:00,1H 0M 0S
"232",518030.588266131,-166525.005753081,2012-11-07 08:00:00,1H 0M 0S
"233",518034.529947709,-166529.74704616,2012-11-07 09:00:00,1H 0M 0S
"234",518034.810759094,-166530.129542781,2012-11-07 10:00:00,1H 0M 0S
"235",520224.490610253,-163992.367119832,2012-11-07 11:00:00,1H 0M 0S
"236",520306.857161239,-164026.027437325,2012-11-07 12:00:00,1H 0M 0S
"237",522869.096835887,-169477.619107968,2012-11-07 13:00:00,1H 0M 0S
"238",532992.6800876,-166723.432351319,2012-11-07 14:00:00,1H 0M 0S
"239",533019.085996357,-166670.240336977,2012-11-07 15:00:00,1H 0M 0S
"240",530130.503199306,-165954.510454139,2012-11-07 16:00:00,1H 0M 0S
"241",530031.231025278,-166606.693638047,2012-11-07 17:00:00,1H 0M 0S
"242",525391.60769623,-166868.614545664,2012-11-07 18:00:00,1H 0M 0S
"243",525381.898419504,-166950.052607163,2012-11-07 19:00:00,1H 0M 0S
"244",525488.352356774,-166865.950529297,2012-11-07 20:00:00,1H 0M 0S
"245",525484.175415108,-166864.677437185,2012-11-07 21:00:00,1H 0M 0S
"246",525837.251306938,-167246.331524259,2012-11-07 22:00:00,1H 0M 0S
"247",526300.895618204,-170319.797189161,2012-11-07 23:00:00,1H 0M 0S
"248",526607.259958327,-170459.204684074,2012-11-08 00:00:00,1H 0M 0S
"249",526539.858563155,-170425.433647951,2012-11-08 01:00:00,1H 0M 0S
"250",525255.905050324,-178988.220348042,2012-11-08 02:00:00,1H 0M 0S
"251",525013.910322602,-179110.010303704,2012-11-08 03:00:00,1H 0M 0S
"252",538349.900349378,-173188.447545306,2012-11-08 04:00:00,1H 0M 0S
"253",537497.128132996,-168441.690447775,2012-11-08 05:00:00,1H 0M 0S
"254",538035.286382646,-168008.614616047,2012-11-08 06:00:00,1H 0M 0S
"255",538035.532289657,-168009.617264029,2012-11-08 07:00:00,1H 0M 0S
"256",538626.109310365,-167665.36931942,2012-11-08 08:00:00,1H 0M 0S
"257",538558.075984516,-167453.201224963,2012-11-08 09:00:00,1H 0M 0S
"258",538332.494508578,-167207.560480631,2012-11-08 10:00:00,1H 0M 0S
"259",535026.820300286,-166614.38317799,2012-11-08 11:00:00,1H 0M 0S
"260",535119.281683794,-166561.332114367,2012-11-08 12:00:00,1H 0M 0S
